250, 0.001, 4.538937982;
250, 0.005, 3.1519662;
250, 0.01, 2.652349725;
250, 0.05, 1.860123337;
250, 0.1, 1.740683051;
250, 0.5, 1.725727778;
250, 1, 1.743595483;
250, 5, 1.76659608;
250, 10, 1.769590166;
2250, 0.001, 10.66359149;
2250, 0.005, 8.003866462;
2250, 0.01, 6.895549729;
2250, 0.05, 4.64872587;
2250, 0.1, 3.839845284;
2250, 0.5, 2.237166245;
2250, 1, 1.646374369;
2250, 5, 1.628858374;
2250, 10, 1.710809233;
4250, 0.001, 12.26218748;
4250, 0.005, 9.65278431;
4250, 0.01, 8.452099333;
4250, 0.05, 5.795479348;
4250, 0.1, 4.757614157;
4250, 0.5, 2.446862457;
4250, 1, 0.9578971399;
4250, 5, 1.551567606;
4250, 10, 1.680038797;
